video link,creator handler,,,,,,,,,,,,,
https://www.tiktok.com/@shizukri27/video/7516019086518930695,@shizukri27,,,,,,,,,,,,,
https://www.tiktok.com/@greatwalleducation/video/7516969922337967378,@greatwalleducation,,,,,,,,,,,,,
https://www.tiktok.com/@defne4976/video/7522782402930822422,@defne4976,,,,,,,,,,,,,
https://www.tiktok.com/@nicole.studywme/video/7519948831836982533,@nicole.studywme,,,,,,,,,,,,,
https://www.tiktok.com/@melimel_111/video/7519501691008355606,@melimel_111,,,,,,,,,,,,,
https://www.tiktok.com/@jona.notes/video/7521696046662094088,@jona.notes,,,,,,,,,,,,,
https://www.tiktok.com/@balsamm4/video/7515491721485012246,@balsamm4,,,,,,,,,,,,,
https://www.tiktok.com/@k1ttymocha/video/7516099631755840786,@k1ttymocha,,,,,,,,,,,,,
https://www.tiktok.com/@thepatelperspective/video/7510958741186186542,@thepatelperspective,,,,,,,,,,,,,
https://www.tiktok.com/@yi.yi2273/video/7514704722255695111,@yi.yi2273,,,,,,,,,,,,,
https://www.tiktok.com/@2gsstudy/video/7518387978805300488,@2gsstudy,,,,,,,,,,,,,
https://www.tiktok.com/@briana.tokar/video/7518055446301707533,@briana.tokar,,,,,,,,,,,,,
https://www.tiktok.com/@guysitsjulia/video/7518797804727209272,@guysitsjulia,,,,,,,,,,,,,
https://www.tiktok.com/@medwithmaz/video/7519051762611801366,@medwithmaz,,,,,,,,,,,,,
https://www.tiktok.com/@dr.favorite/video/7511434494130408726,@dr.favorite,,,,,,,,,,,,,
https://www.tiktok.com/@kwegyltn/video/7514044571421101334,@kwegyltn,,,,,,,,,,,,,
https://www.tiktok.com/@studywithsheilz/video/7511134137164647702,@studywithsheilz,,,,,,,,,,,,,
https://www.tiktok.com/@studywvani/video/7511507102150495530,@studywvani,,,,,,,,,,,,,
https://www.tiktok.com/@_danielasdiary/video/7518937934628719927,@_danielasdiary,,,,,,,,,,,,,
https://www.tiktok.com/@0bbunnii0/video/7523123733557464338,@0bbunnii0,,,,,,,,,,,,,
https://www.tiktok.com/@clouddoris13/video/7512362674554998034,@clouddoris13,,,,,,,,,,,,,
https://www.tiktok.com/@kaybchung/video/7512119443716132127,@kaybchung,,,,,,,,,,,,,
https://www.tiktok.com/@alexxdct/video/7511905129373846792,@alexxdct,,,,,,,,,,,,,
https://www.tiktok.com/@ligh.tstudy/video/7517579289672338710,@ligh.tstudy,,,,,,,,,,,,,
https://www.tiktok.com/@namuuntur/video/7514235598983548190,@namuuntur,,,,,,,,,,,,,
https://www.tiktok.com/@aliciagomezs/video/7512696377831394566,@aliciagomezs,,,,,,,,,,,,,
https://www.tiktok.com/@itsjulylife/video/7511179774455254294,@itsjulylife,,,,,,,,,,,,,
